Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FBgn0031208	CR11023	chr2L	+	7529	9484	0.038830	0.565159	0.963740
FBti0060580	-	chr2L	+	9726	9859	0.000000	0.000000	0.000000
FBgn0002121	l(2)gl	chr2L	-	9839	21376	2.611714	38.012718	64.821358
FBti0059810	-	chr2L	-	9888	9949	1.016129	14.789455	25.219784
STRG.1	-	chr2L	-	9888	9949	1.016129	14.789455	25.219784
STRG.2	-	chr2L	-	13683	20022	4.286911	62.394714	106.398865
FBgn0051973	Cda5	chr2L	-	25402	65404	0.016301	0.237256	0.404582
FBti0059814	-	chr2L	-	27530	27788	0.000000	0.000000	0.000000
FBti0019092	-	chr2L	+	47514	52519	0.291143	4.237500	7.226015
FBgn0267987	lncRNA:CR46254	chr2L	+	54817	55767	0.000000	0.000000	0.000000
FBti0059816	-	chr2L	+	60240	60580	0.000000	0.000000	0.000000
FBti0059818	-	chr2L	+	60663	60773	0.000000	0.000000	0.000000
FBti0019093	-	chr2L	+	64316	64936	0.000000	0.000000	0.000000
STRG.3	-	chr2L	+	47514	52519	0.291143	4.237500	7.226015
FBgn0266879	lncRNA:CR45340	chr2L	+	66318	66524	0.000000	0.000000	0.000000
FBgn0067779	dbr	chr2L	+	66482	71390	0.579240	8.430666	14.376431
FBgn0266322	asRNA:CR44987	chr2L	-	71039	73836	0.063726	1.300827	2.218240
FBgn0031213	galectin	chr2L	+	71757	76211	0.898878	13.082901	22.309677
STRG.4	-	chr2L	+	67181	68309	1.123007	16.345034	27.872438
STRG.5	-	chr2L	-	71039	73836	0.063726	1.300827	2.218240
STRG.6	-	chr2L	+	72621	75015	0.884496	15.853099	27.033566
FBgn0002931	net	chr2L	-	82421	87387	0.249438	4.860324	8.288090
STRG.7	-	chr2L	-	82421	87387	0.249438	4.860324	8.288090
FBgn0031216	Zir	chr2L	+	94739	102086	0.597282	8.693261	14.824224
STRG.8	-	chr2L	+	100863	101187	1.468254	21.369999	36.441288
FBgn0031217	CG11377	chr2L	+	102380	104142	1.984207	28.879541	49.246967
FBgn0026787	Nhe1	chr2L	-	103962	106732	0.390043	5.676960	9.680661
STRG.9	-	chr2L	+	102380	104142	1.984207	28.879541	49.246967
FBgn0005278	Sam-S	chr2L	+	106903	114432	2.669624	68.032112	116.012062
STRG.10	-	chr2L	+	107937	114432	4.213714	67.773888	115.571716
FBgn0031228	ND-15	chr2L	+	114726	156030	1.851982	50.257416	85.701683
FBgn0031219	CG13694	chr2L	-	115365	116488	0.317616	5.198416	8.864621
FBti0060557	-	chr2L	+	116518	116976	0.285403	4.153956	7.083551
FBgn0031220	CG4822	chr2L	-	116970	121754	2.311553	33.643967	57.371521
FBgn0025683	CG3164	chr2L	-	122624	130791	6.099310	88.773643	151.381653
FBgn0266304	asRNA:CR44969	chr2L	+	122837	124031	0.474698	6.909088	11.781754
FBti0060562	-	chr2L	-	123547	123635	2.815095	40.972870	69.869171
FBgn0001142	Gs1	chr2L	+	132077	134472	0.771703	11.231907	19.153259
FBgn0265074	lncRNA:CR44185	chr2L	+	135402	136128	0.000000	0.000000	0.000000
FBgn0265075	lncRNA:CR44186	chr2L	+	136144	136701	0.000000	0.000000	0.000000
FBgn0051976	ovm	chr2L	-	138384	140992	0.050317	0.732349	1.248841
FBgn0051975	CG31975	chr2L	-	138384	140992	0.050317	0.732349	1.248841
FBgn0051974	CG31974	chr2L	-	141077	143091	0.153564	2.235078	3.811377
FBgn0031224	CG11454	chr2L	+	143323	144227	1.062983	15.471401	26.382675
FBgn0259818	CG42399	chr2L	-	144231	153300	0.055796	0.812094	1.384827
FBgn0031227	CG3709	chr2L	-	153539	155305	0.194232	2.826989	4.820735
FBgn0031229	CG3436	chr2L	+	156029	157666	1.480087	23.592241	40.230774
STRG.11	-	chr2L	-	115365	116488	0.317616	5.198416	8.864621
STRG.12	-	chr2L	+	116518	116976	0.285403	4.153956	7.083551
STRG.13	-	chr2L	-	117159	118076	3.227273	46.971996	80.099205
STRG.14	-	chr2L	-	118136	118874	4.528551	65.911713	112.396240
STRG.15	-	chr2L	-	118964	121137	2.405797	35.015659	59.710609
STRG.16	-	chr2L	-	122868	124892	7.587651	114.262840	194.847214
STRG.17	-	chr2L	-	125080	129232	7.046071	102.553467	174.879745
STRG.18	-	chr2L	+	132077	134472	0.771703	11.231907	19.153259
STRG.19	-	chr2L	+	143323	144227	1.062983	15.471401	26.382675
STRG.20	-	chr2L	+	155089	156030	2.333717	49.308475	84.083504
STRG.21	-	chr2L	+	156029	157666	1.480087	23.592241	40.230774
FBgn0053635	CG33635	chr2L	-	157836	158664	0.288687	4.201753	7.165059
FBgn0016977	spen	chr2L	+	159032	203397	2.579141	37.538628	64.012917
FBti0060558	-	chr2L	+	172692	172724	0.000000	0.000000	0.000000
FBti0060559	-	chr2L	-	173743	173778	0.000000	0.000000	0.000000
FBti0019095	-	chr2L	-	176393	176512	0.000000	0.000000	0.000000
FBti0060560	-	chr2L	+	178279	178467	0.000000	0.000000	0.000000
FBti0060561	-	chr2L	+	179822	179909	0.000000	0.000000	0.000000
STRG.22	-	chr2L	+	183776	199743	3.406234	49.643787	84.655296
STRG.23	-	chr2L	+	200119	200675	4.768612	69.405724	118.354424
STRG.24	-	chr2L	+	200742	202347	2.377028	34.596935	58.996578
FBgn0031231	mRpL10	chr2L	+	203779	204782	0.735327	10.702465	18.250427
FBgn0031232	CG11617	chr2L	-	204743	207297	0.000000	0.000000	0.000000
FBgn0031233	Tbc1d15-17	chr2L	+	207179	210725	0.506571	7.372990	12.572824
FBgn0266557	kis	chr2L	-	210735	250823	3.884185	56.533157	96.403419
FBgn0265151	lncRNA:CR44220	chr2L	+	219651	220050	0.000000	0.000000	0.000000
FBgn0265153	lncRNA:CR44222	chr2L	+	223519	224708	0.248739	3.620322	6.173570
FBgn0265152	lncRNA:CR44221	chr2L	+	228037	228588	0.000000	0.000000	0.000000
FBgn0263465	snoRNA:kis-a	chr2L	-	232166	232253	0.000000	0.000000	0.000000
FBgn0031235	CG13693	chr2L	+	232487	234208	0.044578	0.648820	1.106402
FBgn0262252	mir-965	chr2L	-	243035	243141	0.000000	0.000000	0.000000
FBtr0304344_df_nrg	-	chr2L	-	243055	243076	0.000000	0.000000	0.000000
FBtr0472777_df_nrg	-	chr2L	-	243096	243118	0.000000	0.000000	0.000000
FBgn0265149	lncRNA:CR44218	chr2L	+	248909	249812	0.000000	0.000000	0.000000
STRG.25	-	chr2L	+	203779	204782	0.735327	10.702465	18.250427
STRG.26	-	chr2L	-	211970	242144	4.403878	64.097137	109.301918
STRG.27	-	chr2L	+	223519	224708	0.248739	3.620322	6.173570
STRG.28	-	chr2L	-	242261	250816	2.038603	29.671259	50.597050
FBgn0283652	Rpp30	chr2L	-	251039	252373	0.266063	3.872468	6.603543
FBgn0031238	CG3645	chr2L	-	252589	271744	0.438208	6.377987	10.876091
FBgn0031239	CG17075	chr2L	-	259949	267505	0.000000	0.000000	0.000000
FBgn0265150	lncRNA:CR44219	chr2L	+	262203	263003	0.000000	0.000000	0.000000
FBgn0031240	CG3345	chr2L	+	269088	271626	0.000000	0.000000	0.000000
FBgn0086912	mbm	chr2L	-	271912	273715	0.776765	11.305583	19.278896
FBgn0086856	CG11555	chr2L	+	273836	274766	0.874329	14.345013	24.461897
FBgn0086855	CG17078	chr2L	-	274740	278234	0.789184	16.710123	28.495010
FBgn0003444	smo	chr2L	+	277582	282167	0.488772	7.113931	12.131063
FBgn0031244	CG11601	chr2L	-	281670	283269	0.637052	9.272101	15.811294
STRG.29	-	chr2L	+	273836	274766	0.874329	14.345013	24.461897
STRG.30	-	chr2L	-	274740	277212	1.085919	15.805227	26.951935
FBgn0031245	CG3625	chr2L	-	283385	291795	0.117506	1.710265	2.916437
FBgn0267995	asRNA:CR46262	chr2L	+	283807	284255	0.000000	0.000000	0.000000
FBgn0267996	asRNA:CR46263	chr2L	+	286383	288292	0.000000	0.000000	0.000000
FBgn0025686	Amnionless	chr2L	-	287252	289144	0.000000	0.000000	0.000000
FBgn0031247	CG11562	chr2L	+	292419	293222	0.196524	2.860348	4.877622
FBgn0017457	U2af38	chr2L	-	292959	294681	2.348640	34.183758	58.292004
FBgn0024352	Stip1	chr2L	+	295122	297449	6.277311	91.364395	155.799530
STRG.31	-	chr2L	+	295122	297449	6.277311	91.364395	155.799530
FBgn0020622	Pi3K21B	chr2L	+	297880	305233	0.964561	16.881388	28.787062
STRG.32	-	chr2L	+	301706	305233	0.683957	9.954790	16.975451
